Iteration,Hash Function,Speed (s),Collisions,Per-Image Resistance,Second-per-Image Resistance (s),Entropy,Memory Usage (MiB),Efficiency Score
1,SHA-256,0.0,8502,True,1.6468048095703125,4.8125,0.0,0.00011767215067918756
1,SHA-512,0.0,8502,True,1.620999813079834,5.71875,0.0,0.00011768470062115317
1,SHA-3-256,0.0,8501,True,1.68959379196167,4.9375,0.0,0.00011768773031856459
1,SHA-3-512,0.0,8500,True,1.6776466369628906,5.90625,0.0,0.00011771500461663395
1,MD5,0.0,8503,True,1.6547887325286865,4.0,0.0,0.00011764705882352803
2,SHA-256,0.0,8502,True,1.639908790588379,4.8125,0.0,0.00011767215067918756
2,SHA-512,0.015615463256835938,8503,True,1.6451389789581299,5.71875,0.0,0.0001176706363440831
2,SHA-3-256,0.0,8501,True,1.643601894378662,4.9375,0.0,0.00011768773031856459
2,SHA-3-512,0.015619516372680664,8502,True,1.6380414962768555,5.90625,0.0,0.00011768708116050822
2,MD5,0.0,8501,True,1.5967628955841064,4.0,0.0,0.00011767474699929257
3,SHA-256,0.0,8500,True,1.651195764541626,4.8125,0.0,0.00011769985066831308
3,SHA-512,0.0,8504,True,1.6564548015594482,5.71875,0.0,0.00011765700776168435
3,SHA-3-256,0.0,8503,True,1.6394298076629639,4.9375,0.0,0.00011766003603338465
3,SHA-3-512,0.0,8500,True,1.6292438507080078,5.90625,0.0,0.00011771500461663395
3,MD5,0.0,8502,True,1.705216646194458,4.0,0.0,0.00011766090128250244
4,SHA-256,0.0,8502,True,1.6648082733154297,4.8125,0.0,0.00011767215067918756
4,SHA-512,0.0,8501,True,1.3895337581634521,5.71875,0.0,0.00011769855194000178
4,SHA-3-256,0.0,8502,True,1.608935832977295,4.9375,0.0,0.0001176738815465276
4,SHA-3-512,0.0,8501,True,1.5730345249176025,5.90625,0.0,0.00011770114942528596
4,MD5,0.0,8506,True,1.6474385261535645,4.0,0.0,0.00011760555098200497
5,SHA-256,0.0,8502,True,1.6044485569000244,4.8125,0.0,0.00011767215067918756
5,SHA-512,0.0,8500,True,1.595993995666504,5.71875,0.0,0.00011771240651979453
